"class","category","indicator_name","series_name","sub_series_name","parameter","value","units","date_last_updated"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-01","13322","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-02","15351","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-03","15892","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-04","14771","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-05","14791","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-06","15360","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-07","14629","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-08","15423","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-09","15521","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-10","16351","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-11","14969","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-12","13791","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-13","14167","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-14","13351","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-15","15033","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-16","14509","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-17","16376","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-01-18","13738","Number","12-10-21"
